,text,BIO_anno
2650,分期邀请我了，不过只邀分期，不让提额，和我耍流氓,B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O O O
2651,你有白金卡半年就会邀请提额的,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O
2652,团办一般都会下，我们单位3月份也统一办了公务卡，除了一个征信有呆账的人都下了。我开始也挺担心下不来，我有七行卡，以前还有逾期，征信很花，查询次数多，最后还是下来...,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O B-PRODUCT I-PRODUCT O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O
2653,这么想上大妈啊，不过公务卡一般额度不高且万年不提额,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N
2654,公务卡不能自行调额，只能去卡部拿申请表，单位盖章同意调额,B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O
2655,打电话让你还款，好好回答对方，你这样第一次听说,O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O
2656,能问下无界凉山具体是咋回事吗？偷渡国贸香白工作单位住宅地址都填的北京，激活也是在北京超柜，会有封卡风险没？,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O
2657,【工行】Mc环球金,O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT
2658,我在中国银行办理过车贷，还了3年，无逾期，我现在想申请信用卡，怎么申请啊,O O B-BANK I-BANK I-BANK I-BANK O O O B-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O
2659,中行有了一张普通卡三无人员，怎么才能在办理信用卡,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
2660,本人和中行从无交集，没有卡，其他有招行交行建行兴业四个行的信用卡，最高额度五万。现在想办一个白金emv...,O O O B-BANK I-BANK O O O O O O O O O O O O B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK B-BANK I-BANK O O O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O
2661,我只有一张一直在用的中行普通卡，三无人员，0征信，怎样能办理1w左右的信用卡啊？,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-BANK I-BANK O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O
2662,楼主是首卡吗，首卡最好不要办这银行，楼主有五险一金啥的没有，这银行看资质看资产的,O O O B-PRODUCT I-PRODUCT O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2663,拒绝了，一般两天没结果就是15天自动拒,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O
2664,五险教了十几年了，首卡就是中国银行的信用卡白金卡六万的额度，当时啥不懂卡快递到手没有激活我就注销了...,O O O O O O O O O B-PRODUCT I-PRODUCT O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O
2665,我在中行APP查到额度了，不过还在审批中，到今天19天了,O O B-BANK I-BANK O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O
2666,中行APP-信用卡-进度查询,B-BANK I-BANK O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
2667,你可批下来吗？还是拒绝了？我的到现在还在审核中,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
2668,制卡中，效率比较高,B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ
2669,下来了吗？额度多少？我现在还在审核,O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N
2670,下来了19700卡已经到归属地了，明天基本能派件了。,O O O O O O O O O O O O O O O O O O O O O O O O O O
2671,为什么我没有预批额度看不了了呢？,O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O
2672,现在手里两张卡，金卡9W变3W，但是还有张白金卡显示额度还是9W，现在怎么操作才能保证白金卡额度不受影响呢？新,O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O
2673,中行二卡不都不查征信同额秒批吗。你注销3w的卡，再申请二卡不就9w又下来一张了,B-BANK I-BANK O O O O O O B-PRODUCT I-PRODUCT O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O
2674,就是纠结这个问题，怕申请卡的时候再怎么操作会导致另外一张卡降额:L,O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O
2675,实践是检验真理的唯一标准。还是建议你销了3w的，万一二卡没匹配9w匹配3w就一场空，注销了也安心,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2676,我上次也是一样，分行打电话说套现太明显，要降额，我就咬定说没有套，要是降额就投诉银监会，然后就说先不降了，让后期注意...,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O
2677,中行不是很抗撸么？,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2678,别等下个月，万一没及时同步那个也降了呢,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O
2679,垃圾银行早点注销，就没一个像他这样的,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O
2680,我靠，四大最耐撸，不不，天朝最耐撸的中行也这样了吗？,O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O
2681,上一次我在这个论坛上看见有一个老哥信用卡额度只有5000。积分却有一千多万。你和他比的话。应该还算是小巫...,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O
2682,我也接到过分期电话，感觉是个外包，直言我大额消费什么的，我说我是真实消费可以提供凭据，你竟敢威胁我我...,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O
2683,我这个肯定是最初级的:lol??跟大佬们差的远了??可是没想到这么一丢丢就被盯上了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2684,是啊。我也是佩服那个老哥。我都不知道他一千多万积分是怎么来的。我现在有四十多万积分了。是不是要花一...,O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O
2685,我现在还有90+W??我也在思考是不是该处理一些换点里程了:o,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2686,“套取积分”？就是说，中行积分很值钱、被你花完了？！看到了，你是无损撸。,O O O B-PRODUCT I-PRODUCT O O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O
2687,支付宝微信多么？,B-PRODUCT I-PRODUCT I-PRODUCT O O O O O
2688,50%不值于吧，0账单全额那算啥，分期保平安好了,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O B-PRODUCT I-PRODUCT O B-BANK I-BANK O O
2689,不是无损啊，也就是正常的闪付，插卡，也不是0手续费,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT I-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N
2690,1000以下不是0费率吗？反正浦发就是的,O O O O O O O O O O O O O O O B-BANK I-BANK O O O
2691,我建行撸的很了，申请二卡都不批了，你慎重考虑,O B-BANK I-BANK O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O
2692,:L的确没想到中行也是这种套路,O O O O O O O B-BANK I-BANK O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2693,去年就是被中信害死，其他行降额至少会提前通知，中信刚还进去就降每个月都给你降一点真是恶心人还完就注销了,O O O O O B-BANK I-BANK B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-BANK I-BANK O O O O O B-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_N I-COMMENTS_N O
2694,手机号你不用自己的几个意思了，想诈骗么,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2695,字面意思就是要带财力证明去网点申请，我就是这样下卡的,O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
2696,这是婉拒了，如果真通过的话会在短信内告知审批额度的,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O
2697,历史原因导致的，之前我身份证被移动拉黑了，没办成。现在已经出黑名单了，我得去过个户。几麻烦啊,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2698,先过户吧移动怎么拉黑你的？,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2699,上大学那会办过几张移动卡，都没正常销户，后来都欠费停机，后来就拉黑了。,O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2700,中国银行16年发洪水。,B-BANK I-BANK I-BANK I-BANK O O O O O O O
2701,今天我们这里银行又给我打电话，说在不还的话就马上进入执行了，说到时候法院还会下裁，到时候冻结微信和银行卡之类的，我先还了一部分.另外一部分实在是还不了了...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O
2702,还了一半能分期吗？每个月违约金和利息一千四百多，,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O
2703,我星期五的时候投诉给打电话要求剩下的个性化分期.,O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O
2704,还不如分期偿还！,O O O B-PRODUCT I-PRODUCT O O O
2705,降额逾期，不能上演?,B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2706,不知道，没钱只能涨?,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ O
2707,中国银行一般逾期几个月后执行,B-BANK I-BANK I-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O O
2708,我也又耽误了，但是我们当地分公司一直打电话。,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O
2709,我没钱还就执行。不管是哪个行的，反正最好不要办信用卡,O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
2710,周五投诉的时候打电话要求剩余的个性化分期付款。,O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O
2711,你说的是中信吧,O O O O B-BANK I-BANK O
2712,每月只有3w没有动力申请卡。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O
2713,那届奥运会卡白,O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT
2714,其他野鸡行全已销户,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N
2715,交通银行也是国有大银行，不能说野鸡,B-BANK I-BANK I-BANK I-BANK O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O
2716,我也是，昨晚凌晨申的，拒的话9.30之前会来短信,O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O
2717,我去年申请过一张，后来注销了，昨晚看到这卡还可以就申请了，希望能过吧，双标芯片卡我还是第一次见！！！,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O
2718,刚打的客服，说这张卡还没有正式发行，即使通过了，也不会收到卡片，坑不坑,O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O O B-PRODUCT O O B-COMMENTS_ADJ O B-COMMENTS_ADJ
2719,昨晚快九点申请的，没消息也查不到记录，效率低不低,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ
2720,昨天早上找不到申请的紧密度，就打电话给客服说通过了。昨天还担心呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2721,我昨晚申请的，已经过了中午，额度是共享的。,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O
2722,收到卡给我们看看。高大上的卡长啥样,O O B-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-PRODUCT O O O
2723,刚给客服打电话，说这个卡还没有正式发布，就算通过了也需要耐心等待,O O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O
2724,我也是，昨晚凌晨申请的，不过9.30前会发短信。,O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O
2725,这卡比较特殊，虽是双标卡，但芯片可在国内银联机子上插卡使用，走银联通道,O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
2726,中国银行积分值钱吗？36块钱换30000积分赚不赚好像现在中国银行不能积分换话费了,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O B-BANK I-BANK I-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O
2727,1万积分约合18元。只能快捷支付才有积分,O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT
2728,有长城卡银联单标，申请这个会不会下visa单标？,O O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT B-PRODUCT I-PRODUCT O
2729,工行1k~50k~65k,B-BANK I-BANK O O O O O O O O O O
2730,要芯片有什么用，不是得微信支付宝刷吗。,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
2731,可以跟银联单标芯片卡一样线下插卡挥卡刷啊,O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT O O O O O O O O O O O O O
2732,可能给原油宝整的大伤元气，缩减营销经费了,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O
2733,刚给客服打电话说这个卡还没正式。？他到处宣传还没正式发布，坑啊,O O O O O O O O O O B-PRODUCT O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O
2734,用卡号不就绑定微信了嘛,O O O O O O O O O O O
2735,Aaa查看激活卡号，在微信激活，微信直接用卡号绑定,O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O
2736,激活后绑定不了支付宝,B-COMMENTS_N I-COMMENTS_N O O O O O B-PRODUCT I-PRODUCT I-PRODUCT
2737,在微信咱样操作可以激活？直接绑卡提示没开通快捷支付功能,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O
2738,中行好像认砖。现在有两种方式，第一种是线下柜台申请，第一种今天刚申请，两三个小时就过去了，8k的赞卡，之前还有,B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O
2739,只有中行可以换？？？,B-COMMENTS_ADJ I-COMMENTS_ADJ B-BANK I-BANK O O O O O O
2740,外币兑换只有中行才能搞，我上次去建行换美金要我去中行。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-BANK I-BANK O O O O O O O O B-BANK I-BANK O O O O O O B-BANK I-BANK O
2741,这样子呀，都是可以办成功的,O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2742,不是啊，我在交行换过，在交行也存过美元,O O O O O O B-BANK I-BANK O O O O B-BANK I-BANK O O O O O
2743,中信1k怒销,B-BANK I-BANK O O B-COMMENTS_ADJ O
2744,只有中国银行可以兑换？？？,O O B-BANK I-BANK I-BANK I-BANK O O O O O O O
2745,一万就是终身额度，不要在点了，不会通过的,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O
2746,明天看看吧！说是缤纷生活和银行APP都有,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O
2747,5次活动点数上限为5万?自己看其他点，心里就不慌了,O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2748,大佬，问题是正儿八经的真的有人会往信用卡存钱吗？比得了储蓄卡的各种理财吗？,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT O O
2749,中国银行001binding云闪付也显示准信用卡，其实是信用卡,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT
2750,早签完了，给了一个优科借记分期卡，还开了一个数字信。,O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O
2751,招行也不打公司电话核实吗？,B-BANK I-BANK O O O O O O O O O O O
2752,你工行的卡发中行版块？,O B-BANK I-BANK O B-PRODUCT O B-BANK I-BANK O O O
2753,特色卡会有，招商哆啦a梦卡工本费100。,O O B-PRODUCT O O O B-BANK I-BANK O O O O B-PRODUCT O O O O O O O
2754,瑞鹤千秋卡本来就写明有制卡费的，以后申卡时仔细看一下说明，别花冤枉钱,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O
2755,我也是刚刚固额又恢复了，这次临时比固额高，又点了，等几分钟消息,O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O
2756,中行只要下卡是10000，基本上就是终身额度了,B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O
2757,查贷后还是贷款？,O O O O O B-PRODUCT I-PRODUCT O
2758,我跟你额度一样一样的，8300，强迫症想着到一万也行。然并卵，一直有，一直拒,O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ
2759,过了12点看到的，推荐固定从13变成11了，推荐临时从16变成14了，额度都是挺高的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2760,最近账单少了？我四月份五月份消费少了推荐降低了，但是我六月份消费高了这个月推荐还是没有涨，搞不清是不是和消费多少有关系。...,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
2761,我这个升上来了，就提了一次，上个月还有13k的推荐固定呢，昨天没了，今儿出来变成11k了，太牛马了,O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2762,送了多少个人头了，盼了多少个日夜，第一次成功破1w，欣喜若狂，值了值了。终于不是烂卡了，成功升级小菜卡。,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT O
2763,请问现在积分都换啥呢？星巴克没了以后，谢谢,O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2764,你需要去柜台，明确告知柜员，帮忙修改一下信用卡系统的手机号码。把电话号码改成现在使用的，就可以咯。,O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O
2765,是的，需要去柜台修改现在的手机号码，我上午修改，下午申请就直接批了3万。招行的，还行,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ
2766,什么资质。秒批。厉害。,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2767,你是跟他们说改信用卡系统的预留手机号还是借记卡的预留手机号，网点申请的吗？,O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O
2768,点击获取验证码，会弹窗口，才输入你的手机号码,O O O O O O O O O O O O O O O O O O O O O O
2769,就是因为它不弹呀，等半天没反应，试了好几回了，官网和云闪付都是一样,O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O
2770,需要去柜台，跟柜员说清楚，帮忙修改信用卡系统。,O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O
2771,可以，需要去专柜修改当前手机号。今天早上我会修改它。还是很方便的,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O
2772,回家点击获取验证码，会弹出窗口，然后输入你的手机号因为不玩。等了很久，它没有反应。我试过几次，官网,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O
2773,我也下0额度直接注销了,O O B-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O
2774,申请别的会直接拒绝！我也是19年下卡0额度！很惨！,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ O
2775,我也是0额度存了100用了几个月再申请其他卡秒过的10000额度,O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O B-PRODUCT O O O O O O O O B-COMMENTS_N I-COMMENTS_N
2776,存100个砖才给10k？不给100k说不过去呀，建行不会这么小气吧,O O O O O O O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O
2777,这个方法可行吗？我还打算去银行申请个进件。,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O
2778,我中行房贷??首卡批4000??我说啥了??连销了几次??现在预审批都没了搞不好系统记仇了??房贷现在都还11年了??这又搬了20砖??3个月后是骡子是马到时候就知道了...,O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2779,都说中行记仇，好多人都在说,O O B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O
2780,啥记仇不记仇的??要是资质好??哪家银行都争着抢着要客户说白了还是自己不值钱??跟找工作一个道理我认为拒就一个原因自己不够幼稚??...,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2781,哈哈，你话跟你说的一样，优质男整个论坛也不多。就不是这种三五万的卡能解决的了。,O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O B-PRODUCT O O O O O O
2782,就是我个人认为的??本来也不代表别人??发表一下个人观点??瘸子里面还有将军呢??都是糟粕??还有鸡头呢,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2783,哎，看放水还是忍不住，才神奇了华夏。邮储申请多少回拒，又来送人头了,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-BANK I-BANK O B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_ADJ O O O O O O O
